time,w,a,s,d
11206.803038354,64.42,1.83,94.91,3.25
11206.892854339,41.76,1.79,143.01,1.72
11206.987174261,12.51,1.78,150.49,0.12
11207.077296934,0.61,1.81,135.06,12.89
11207.167107069,1.29,1.78,62.08,102.07
11207.261262532,1.24,1.41,6.16,199.65
11207.351746493,1.2,0.3,0.14,208.32
11207.445822588,1.2,1.04,0.35,194.43
11207.536383703,1.17,14.53,0.29,160.45
11207.625911418,1.12,95.98,0.21,66.23
11207.720258651,1.0,189.35,0.08,7.06
11207.81053354,1.1,209.32,0.11,0.25
11207.900616206,1.02,210.29,3.79,0.01
11207.994733978,1.05,245.33,45.19,0.15
11208.084987777,1.08,250.61,118.26,0.09
11208.179037521,1.07,129.82,172.7,0.03
11208.269274278,1.06,16.15,164.25,0.11
11208.359352768,1.05,51.68,80.45,0.32
11208.453181807,1.05,230.98,8.41,0.28
11208.543656051,1.04,331.74,2.46,0.3
11208.633748025,1.2,297.56,52.02,0.09
11208.727863052,1.08,216.76,137.75,0.12
11208.817977639,0.99,61.76,153.51,0.11
11208.912140075,0.98,0.25,136.29,0.24
11209.002409023,1.08,2.82,132.89,0.12
11209.092481932,0.39,2.57,91.57,0.07
11209.186437609,25.45,2.41,16.29,0.07
11209.27677268,124.76,2.24,0.97,0.02
11209.366873451,194.44,2.14,0.9,4.1
11209.461184157,153.53,2.08,0.88,34.4
11209.550936011,146.98,2.03,0.85,79.99
11209.64125895,76.01,1.93,0.74,87.98
11209.735425804,8.78,1.91,0.67,57.79
11209.825595505,0.97,1.86,0.71,47.15
11209.919987352,0.62,1.84,0.63,66.48
11210.010074257,0.62,1.8,0.61,64.37
11210.099889662,0.79,1.77,0.18,57.61
11210.19413839,0.85,1.71,10.35,71.62
11210.284407317,0.94,1.68,44.77,87.91
11210.374377443,0.95,1.66,78.81,49.87
11210.468656538,0.87,1.57,85.73,7.54
11210.558912881,0.8,1.55,53.52,37.85
11210.652897463,0.9,1.59,11.71,148.48
11210.743164857,0.94,1.58,0.03,216.76
11210.833162003,0.83,1.6,0.58,207.93
11210.927163156,0.91,1.61,0.8,202.29
11211.017572568,0.9,0.67,0.62,207.13
11211.10756756,0.83,29.5,0.37,139.76
11211.201926665,0.94,150.65,0.62,31.47
11211.291951153,0.96,239.97,0.83,1.3
11211.385779911,0.92,227.72,9.78,0.1
11211.476306373,0.85,214.74,102.42,0.1
11211.566323317,0.76,192.49,219.98,0.12
11211.660215996,0.85,90.48,241.97,0.08
11211.750681482,0.87,9.45,229.47,0.18
11211.84040801,0.91,2.71,226.0,0.02
11211.934986699,0.95,2.64,228.48,0.03
11212.025072973,0.12,2.51,203.08,0.05
11212.119200473,27.83,2.46,99.73,0.16
11212.209290434,115.67,2.38,14.0,0.07
11212.299450417,186.09,2.35,1.6,0.07
11212.393504789,210.32,2.33,1.76,0.02
11212.483892761,208.13,2.33,1.54,0.01
11212.573853989,196.86,0.15,1.42,0.06
11212.668035641,159.25,48.33,1.56,0.01
11212.758238183,80.74,164.27,1.84,0.06
11212.852189132,14.4,199.96,1.65,0.05
11212.942523423,21.58,163.44,1.43,1.05
11213.032597273,83.26,212.34,1.35,1.44
11213.126713573,108.35,289.88,1.35,0.7
11213.216995665,32.51,174.16,1.4,10.38
11213.306937788,0.41,19.09,21.23,120.18
11213.401158894,1.27,2.45,27.06,264.67
11213.491355355,1.18,0.65,7.86,291.83
11213.585333315,1.14,3.64,0.17,273.91
11213.675741885,1.3,2.13,0.1,245.71
11213.765507174,1.26,0.54,0.23,172.88
11213.860000002,1.31,12.62,0.28,47.17
11213.949856414,1.31,86.91,0.16,13.25
11214.040176957,1.25,162.67,0.24,80.44
11214.134572382,1.29,147.41,0.25,156.14
11214.224227385,1.39,58.97,0.04,144.18
11214.314454695,1.37,4.63,0.18,87.69
11214.408778614,1.41,10.41,0.54,24.54
11214.498904071,1.46,55.8,0.26,8.22
11214.592985085,1.42,105.12,0.17,55.24
11214.683285712,1.31,135.98,0.1,128.43
11214.772926257,1.4,101.45,2.23,165.19
11214.867359643,1.34,20.58,29.13,154.2
11214.957449403,1.37,0.6,69.08,66.06
11215.047645854,1.22,1.72,84.71,4.78
11215.142155895,1.08,1.36,75.72,1.32
11215.232025571,2.52,0.73,29.91,6.0
11215.325927176,17.23,0.58,2.19,3.78
11215.416243403,35.17,0.51,20.84,0.36
11215.50631559,38.27,0.49,100.01,1.98
11215.600427631,27.47,0.47,140.17,0.59
11215.690799913,7.24,0.44,115.3,7.24
11215.78479823,1.08,0.34,41.38,104.96
11215.8751328,1.21,0.33,2.34,243.6
11215.965200239,1.1,0.32,0.14,279.79
11216.05918434,1.04,2.22,1.06,221.61
11216.149577011,1.38,19.68,1.58,82.37
11216.239265165,1.35,36.76,1.87,10.59
11216.333816613,1.27,39.76,29.51,0.14
11216.423599266,1.4,64.53,168.0,0.26
11216.51399404,1.29,63.76,257.71,0.09
11216.608038394,1.22,11.63,216.81,0.31
11216.698055057,0.21,0.73,144.52,0.28
11216.792430203,14.84,0.62,45.2,0.11
11216.882676096,53.32,0.51,2.45,0.02
11216.972738656,79.46,0.4,0.01,0.02
11217.066849735,74.5,0.36,0.19,2.16
11217.157070723,67.49,0.35,0.17,174.57
11217.247151607,43.89,0.3,0.29,235.37
11217.341357515,9.45,0.24,0.24,191.35
11217.431502158,19.32,0.23,0.11,68.87
11217.52555025,82.66,0.24,0.1,5.4
11217.615975812,132.35,0.23,5.02,0.24
11217.705898528,146.6,0.24,73.18,0.3
11217.799836632,148.8,0.23,173.21,0.57
11217.890041048,112.37,0.23,188.91,0.4
11217.980317139,32.41,0.18,179.38,0.18
11218.074306029,1.09,6.63,97.18,0.07
11218.164390018,0.51,84.35,11.85,0.0
11218.25434743,0.44,211.24,0.0,0.25
11218.348917873,0.43,246.73,0.16,10.45
11218.43892594,0.42,210.53,0.18,48.86
11218.533129343,0.46,128.09,0.07,88.96
11218.623309904,0.38,26.03,0.21,113.19
11218.713405395,0.38,1.03,14.4,132.14
11218.80752918,0.38,1.41,75.59,135.68
11218.897614782,0.31,1.2,122.99,60.35
11218.991564888,0.42,1.08,130.58,4.53
11219.081775506,0.3,114.72,125.22,0.03
11219.17221281,2.13,0.85,65.7,0.07
11219.266355899,17.26,0.86,6.43,0.03
11219.356430801,65.32,0.83,0.28,0.05
11219.446491717,106.98,7.41,0.21,0.16
11219.540725077,121.05,78.84,0.11,0.17
11219.630839884,106.43,211.72,0.13,0.22
11219.720665267,39.36,224.36,0.01,0.3
11219.815152254,1.85,179.09,14.12,0.38
11219.904985762,1.0,162.35,115.81,0.18
11219.999305304,0.99,77.58,218.11,0.29
11220.08954723,0.99,6.43,218.78,0.08
11220.179511575,0.99,0.46,171.08,0.02
11220.273520382,1.06,0.14,140.12,0.36
11220.364103279,1.03,0.03,81.59,15.04
11220.454364783,0.97,0.16,12.4,56.79
11220.548314118,0.93,0.23,16.75,74.4
11220.638468601,1.02,0.25,85.57,81.98
11220.732520548,0.95,0.28,127.57,80.38
11220.822496855,0.96,0.33,125.27,35.33
11220.912823481,0.95,0.37,118.93,3.37
11221.006709969,0.94,4.41,117.58,0.08
11221.096925766,0.98,76.93,71.44,0.09
11221.187398726,0.92,221.16,10.57,0.24
11221.281049481,0.91,277.59,1.16,0.12
11221.371495682,0.97,267.71,1.46,10.88
11221.465653259,1.01,237.74,1.25,83.09
11221.555844189,0.91,136.32,1.17,175.63
11221.646030781,0.9,22.25,0.89,193.11
11221.740175855,0.83,0.52,12.77,162.8
11221.830296173,0.87,0.48,74.0,106.89
11221.920533801,1.05,0.27,115.98,27.0
11222.014626126,1.08,0.16,120.71,0.52
11222.104867691,1.0,0.07,119.2,0.14
11222.198945889,0.38,0.0,104.9,0.18
11222.289052421,9.92,0.01,45.38,0.01
11222.379194911,50.92,0.02,3.24,0.02
11222.47330055,96.49,0.09,0.77,0.03
11222.563554459,104.08,6.33,0.18,0.05
11222.653524074,72.67,46.32,1.51,0.17
11222.747759517,20.38,84.86,2.22,0.17
11222.837927815,0.73,82.47,2.09,0.14
11222.927808884,0.96,80.68,1.16,4.19
11223.022115661,0.96,91.22,0.26,55.05
11223.112288659,0.91,71.52,0.21,157.43
11223.206335406,0.85,15.35,0.18,208.93
11223.29659719,0.78,1.14,0.12,194.36
11223.38674003,0.05,1.26,0.12,147.66
11223.480923015,51.54,1.09,0.02,56.55
11223.571074973,96.99,1.0,0.06,4.68
11223.660968644,114.44,0.92,4.54,0.12
11223.755106394,121.38,0.87,46.71,0.34
11223.845335627,111.05,0.81,103.42,0.22
11223.939197067,51.69,0.77,118.2,0.06
11224.02981519,5.34,0.7,104.59,0.09
11224.119799152,0.73,6.47,52.09,0.13
11224.213929728,0.6,79.84,5.46,0.13
11224.303991686,0.61,176.74,0.79,0.06
11224.394146559,0.53,189.16,0.65,0.69
11224.488364549,0.52,170.73,0.47,25.4
11224.578606606,0.59,138.46,0.39,122.88
11224.672664496,0.57,52.4,0.55,210.97
11224.762802898,0.59,2.49,1.35,240.13
11224.852746213,0.58,1.25,35.43,249.03
11224.946950067,0.49,1.05,111.09,116.32
11225.037538595,0.52,0.9,149.66,12.02
11225.127082329,0.53,0.82,147.15,0.19
11225.221620601,0.21,0.75,136.72,0.03
11225.311732093,13.02,0.72,87.51,0.02
11225.405857589,92.31,0.71,15.36,0.11
11225.496125164,192.81,0.7,0.08,0.04
11225.586099657,213.2,0.67,0.26,0.06
11225.680274296,206.08,0.15,0.03,0.15
11225.770491717,193.51,26.83,0.07,0.16
11225.86052481,109.74,113.19,0.2,0.16
11225.95475252,16.41,173.45,0.0,0.19
11226.044998563,0.66,94.16,13.53,0.26
